,version : 3.11.3
0,time : 2021-12-29 12:21:56.459
1,uuid : 20028C4A-5627-6C8C-2063-C6E8E792DE53
2,mac : CB70200E2ED2
3,2021-12-29 12:21:56.459 init record log sdk version :3.11.3
4,2021-12-29 12:21:56.469 device connect error log :start scan
5,2021-12-29 12:21:57.290 device connect process log :system bluetooth on
6,2021-12-29 12:22:00.384 device connect error log :start scan
7,2021-12-29 12:22:00.389 device connect error log :auto scan connection device
8,2021-12-29 12:22:00.404 device connect error log :retrieve connected peripherals with services == {uuid=20028C4A-5627-6C8C-2063-C6E8E792DE53}
9,2021-12-29 12:22:00.408 device connect error log :the device from the system list == 20028C4A-5627-6C8C-2063-C6E8E792DE53
10,2021-12-29 12:22:00.410 device connect process log :connect didConnectPeripheral == 20028C4A-5627-6C8C-2063-C6E8E792DE53
11,2021-12-29 12:22:00.412 device connect error log :stop scan
12,2021-12-29 12:22:00.428 device connect process log :connect didDiscoverServices == 20028C4A-5627-6C8C-2063-C6E8E792DE53
13,"""2021-12-29 12:22:01.236 write data log :{length = 2,bytes = 02a0}"""
14,2021-12-29 12:22:01.241 write data log :write command data failed
15,"""2021-12-29 12:22:01.902 write data log :{length = 11,bytes = 0311010101450201560001}"""
16,2021-12-29 12:22:01.904 device connect process log :connect didDiscoverCharacteristicsForService == 20028C4A-5627-6C8C-2063-C6E8E792DE53
17,"""2021-12-29 12:22:01.906 auto connnect log,total time :3 s connect mode : default"""
18,"""2021-12-29 12:22:03.327 write data log :{length = 2,bytes = 0204}"""
19,"""2021-12-29 12:22:03.349 receive data log :{length = 2,bytes = 0311}"""
20,"""2021-12-29 12:22:03.665 receive data log :{length = 8,bytes = 0204cb70200e2ed2}"""
21,"""2021-12-29 12:22:03.672 write data log :{length = 2,bytes = 0201}"""
22,"""2021-12-29 12:22:04.139 receive data log :{length = 11,bytes = 020134012600004c010001}"""
23,"""2021-12-29 12:22:04.144 write data log :{length = 2,bytes = 0202}"""
